benchmark                                        old ns/op     new ns/op     delta
Benchmark_easyjson_Marshal-4                     694860        627824        -9.65%
Benchmark_easyjson_Marshal_lexer-4               704054        619305        -12.04%
Benchmark_easyjson_Unmarshal_Full-4              1167865       1067339       -8.61%
Benchmark_easyjson_Unmarshal_Min-4               938205        910280        -2.98%
Benchmark_easyjson_Unmarshal_Full_lexer-4        1113408       1079019       -3.09%
Benchmark_easyjson_Unmarshal_Min_lexer-4         928399        913498        -1.61%
Benchmark_ffjson_Marshal_simple-4                560600        462408        -17.52%
Benchmark_ffjson_Marshal_simple_pooling-4        551037        418450        -24.06%
Benchmark_ffjson_Marshal_generated-4             732218        701555        -4.19%
Benchmark_ffjson_Unmarshal_Full_simple-4         3470857       2609672       -24.81%
Benchmark_ffjson_Unmarshal_Min_simple-4          3008480       2251020       -25.18%
Benchmark_ffjson_Unmarshal_Full_generated-4      910375        914319        +0.43%
Benchmark_ffjson_Unmarshal_Min_generated-4       832883        844495        +1.39%
Benchmark_jsoniterator_Marshal-4                 497696        490734        -1.40%
Benchmark_jsoniterator_Marshal_fast-4            483571        486271        +0.56%
Benchmark_jsoniterator_Unmarshal_Full-4          1320642       1379697       +4.47%
Benchmark_jsoniterator_Unmarshal_Min-4           1254914       1316086       +4.87%
Benchmark_jsoniterator_Unmarshal_Full_fast-4     1298931       1340666       +3.21%
Benchmark_jsoniterator_Unmarshal_Min_fast-4      1234806       1284890       +4.06%
Benchmark_msgpack_vmihailenco_Marshal-4          36088         39698         +10.00%
Benchmark_msgpack_vmihailenco_Unmarshal-4        534900        524200        -2.00%
Benchmark_std_Marshal-4                          551902        465422        -15.67%
Benchmark_std_Unmarshal_Full-4                   3429728       2618486       -23.65%
Benchmark_std_Unmarshal_Min-4                    2993079       2211588       -26.11%

benchmark                                        old allocs     new allocs     delta
Benchmark_ffjson_Marshal_generated-4             1502           1501           -0.07%
Benchmark_ffjson_Unmarshal_Full_simple-4         1655           1659           +0.24%
Benchmark_ffjson_Unmarshal_Min_simple-4          1655           1659           +0.24%
Benchmark_ffjson_Unmarshal_Full_generated-4      1011           1010           -0.10%
Benchmark_ffjson_Unmarshal_Min_generated-4       1011           1010           -0.10%
Benchmark_jsoniterator_Unmarshal_Full-4          2877           2816           -2.12%
Benchmark_jsoniterator_Unmarshal_Min-4           2877           2816           -2.12%
Benchmark_jsoniterator_Unmarshal_Full_fast-4     2169           2108           -2.81%
Benchmark_jsoniterator_Unmarshal_Min_fast-4      2169           2108           -2.81%
Benchmark_msgpack_vmihailenco_Marshal-4          5              6              +20.00%
Benchmark_std_Unmarshal_Full-4                   1655           1659           +0.24%
Benchmark_std_Unmarshal_Min-4                    1655           1659           +0.24%

benchmark                                        old bytes     new bytes     delta
Benchmark_easyjson_Marshal-4                     173646        173848        +0.12%
Benchmark_easyjson_Marshal_lexer-4               173638        173815        +0.10%
Benchmark_easyjson_Unmarshal_Min-4               320288        320290        +0.00%
Benchmark_easyjson_Unmarshal_Full_lexer-4        320289        320290        +0.00%
Benchmark_easyjson_Unmarshal_Min_lexer-4         320288        320290        +0.00%
Benchmark_ffjson_Marshal_simple-4                177264        176679        -0.33%
Benchmark_ffjson_Marshal_simple_pooling-4        177714        174859        -1.61%
Benchmark_ffjson_Marshal_generated-4             433329        432370        -0.22%
Benchmark_ffjson_Unmarshal_Full_simple-4         349408        349668        +0.07%
Benchmark_ffjson_Unmarshal_Min_simple-4          349408        349667        +0.07%
Benchmark_ffjson_Unmarshal_Full_generated-4      214933        214831        -0.05%
Benchmark_ffjson_Unmarshal_Min_generated-4       214932        214801        -0.06%
Benchmark_jsoniterator_Marshal-4                 179118        176437        -1.50%
Benchmark_jsoniterator_Marshal_fast-4            178474        177159        -0.74%
Benchmark_jsoniterator_Unmarshal_Full-4          615412        613773        -0.27%
Benchmark_jsoniterator_Unmarshal_Min-4           615412        613774        -0.27%
Benchmark_jsoniterator_Unmarshal_Full_fast-4     605105        603467        -0.27%
Benchmark_jsoniterator_Unmarshal_Min_fast-4      605105        603466        -0.27%
Benchmark_msgpack_vmihailenco_Unmarshal-4        217744        217745        +0.00%
Benchmark_std_Marshal-4                          176970        177760        +0.45%
Benchmark_std_Unmarshal_Full-4                   349408        349667        +0.07%
Benchmark_std_Unmarshal_Min-4                    349408        349667        +0.07%
