benchmark                                        old ns/op     new ns/op     delta
Benchmark_easyjson_Marshal-4                     627824        629377        +0.25%
Benchmark_easyjson_Marshal_lexer-4               619305        627446        +1.31%
Benchmark_easyjson_Unmarshal_Full-4              1067339       1074901       +0.71%
Benchmark_easyjson_Unmarshal_Min-4               910280        909896        -0.04%
Benchmark_easyjson_Unmarshal_Full_lexer-4        1079019       1077787       -0.11%
Benchmark_easyjson_Unmarshal_Min_lexer-4         913498        911578        -0.21%
Benchmark_ffjson_Marshal_simple-4                462408        455004        -1.60%
Benchmark_ffjson_Marshal_simple_pooling-4        418450        410855        -1.82%
Benchmark_ffjson_Marshal_generated-4             701555        694523        -1.00%
Benchmark_ffjson_Unmarshal_Full_simple-4         2609672       2554858       -2.10%
Benchmark_ffjson_Unmarshal_Min_simple-4          2251020       2176288       -3.32%
Benchmark_ffjson_Unmarshal_Full_generated-4      914319        909629        -0.51%
Benchmark_ffjson_Unmarshal_Min_generated-4       844495        865734        +2.51%
Benchmark_jsoniterator_Marshal-4                 490734        493877        +0.64%
Benchmark_jsoniterator_Marshal_fast-4            486271        484857        -0.29%
Benchmark_jsoniterator_Unmarshal_Full-4          1379697       1360309       -1.41%
Benchmark_jsoniterator_Unmarshal_Min-4           1316086       1302185       -1.06%
Benchmark_jsoniterator_Unmarshal_Full_fast-4     1340666       1338005       -0.20%
Benchmark_jsoniterator_Unmarshal_Min_fast-4      1284890       1275244       -0.75%
Benchmark_msgpack_vmihailenco_Marshal-4          39698         39127         -1.44%
Benchmark_msgpack_vmihailenco_Unmarshal-4        524200        527506        +0.63%
Benchmark_std_Marshal-4                          465422        459394        -1.30%
Benchmark_std_Unmarshal_Full-4                   2618486       2586071       -1.24%
Benchmark_std_Unmarshal_Min-4                    2211588       2201790       -0.44%

benchmark                                        old bytes     new bytes     delta
Benchmark_easyjson_Marshal-4                     173848        173814        -0.02%
Benchmark_easyjson_Marshal_lexer-4               173815        173909        +0.05%
Benchmark_easyjson_Unmarshal_Min-4               320290        320289        -0.00%
Benchmark_easyjson_Unmarshal_Min_lexer-4         320290        320291        +0.00%
Benchmark_ffjson_Marshal_simple-4                176679        177902        +0.69%
Benchmark_ffjson_Marshal_simple_pooling-4        174859        174937        +0.04%
Benchmark_ffjson_Marshal_generated-4             432370        432278        -0.02%
Benchmark_ffjson_Unmarshal_Min_simple-4          349667        349668        +0.00%
Benchmark_ffjson_Unmarshal_Full_generated-4      214831        214829        -0.00%
Benchmark_ffjson_Unmarshal_Min_generated-4       214801        214820        +0.01%
Benchmark_jsoniterator_Marshal-4                 176437        177727        +0.73%
Benchmark_jsoniterator_Marshal_fast-4            177159        178183        +0.58%
Benchmark_jsoniterator_Unmarshal_Min-4           613774        613772        -0.00%
Benchmark_jsoniterator_Unmarshal_Full_fast-4     603467        603464        -0.00%
Benchmark_jsoniterator_Unmarshal_Min_fast-4      603466        603462        -0.00%
Benchmark_msgpack_vmihailenco_Unmarshal-4        217745        217744        -0.00%
Benchmark_std_Marshal-4                          177760        177531        -0.13%
Benchmark_std_Unmarshal_Full-4                   349667        349666        -0.00%
