benchmark                                        old ns/op     new ns/op     delta
Benchmark_easyjson_Marshal-4                     694860        608611        -12.41%
Benchmark_easyjson_Marshal_lexer-4               704054        597866        -15.08%
Benchmark_easyjson_Unmarshal_Full-4              1167865       1052504       -9.88%
Benchmark_easyjson_Unmarshal_Min-4               938205        904700        -3.57%
Benchmark_easyjson_Unmarshal_Full_lexer-4        1113408       1051424       -5.57%
Benchmark_easyjson_Unmarshal_Min_lexer-4         928399        893878        -3.72%
Benchmark_ffjson_Marshal_simple-4                560600        443825        -20.83%
Benchmark_ffjson_Marshal_simple_pooling-4        551037        445067        -19.23%
Benchmark_ffjson_Marshal_generated-4             732218        651874        -10.97%
Benchmark_ffjson_Unmarshal_Full_simple-4         3470857       3321658       -4.30%
Benchmark_ffjson_Unmarshal_Min_simple-4          3008480       2884785       -4.11%
Benchmark_ffjson_Unmarshal_Full_generated-4      910375        861470        -5.37%
Benchmark_ffjson_Unmarshal_Min_generated-4       832883        811723        -2.54%
Benchmark_jsoniterator_Marshal-4                 497696        473627        -4.84%
Benchmark_jsoniterator_Marshal_fast-4            483571        463498        -4.15%
Benchmark_jsoniterator_Unmarshal_Full-4          1320642       1271024       -3.76%
Benchmark_jsoniterator_Unmarshal_Min-4           1254914       1221668       -2.65%
Benchmark_jsoniterator_Unmarshal_Full_fast-4     1298931       1252551       -3.57%
Benchmark_jsoniterator_Unmarshal_Min_fast-4      1234806       1188355       -3.76%
Benchmark_msgpack_vmihailenco_Marshal-4          36088         33898         -6.07%
Benchmark_msgpack_vmihailenco_Unmarshal-4        534900        493865        -7.67%
Benchmark_std_Marshal-4                          551902        448964        -18.65%
Benchmark_std_Unmarshal_Full-4                   3429728       3305551       -3.62%
Benchmark_std_Unmarshal_Min-4                    2993079       2896155       -3.24%

benchmark                                        old allocs     new allocs     delta
Benchmark_jsoniterator_Unmarshal_Full-4          2877           2816           -2.12%
Benchmark_jsoniterator_Unmarshal_Min-4           2877           2816           -2.12%
Benchmark_jsoniterator_Unmarshal_Full_fast-4     2169           2108           -2.81%
Benchmark_jsoniterator_Unmarshal_Min_fast-4      2169           2108           -2.81%
Benchmark_msgpack_vmihailenco_Marshal-4          5              6              +20.00%

benchmark                                        old bytes     new bytes     delta
Benchmark_easyjson_Marshal-4                     173646        173778        +0.08%
Benchmark_easyjson_Marshal_lexer-4               173638        173750        +0.06%
Benchmark_easyjson_Unmarshal_Min-4               320288        320289        +0.00%
Benchmark_easyjson_Unmarshal_Full_lexer-4        320289        320290        +0.00%
Benchmark_easyjson_Unmarshal_Min_lexer-4         320288        320290        +0.00%
Benchmark_ffjson_Marshal_simple-4                177264        176237        -0.58%
Benchmark_ffjson_Marshal_simple_pooling-4        177714        176185        -0.86%
Benchmark_ffjson_Marshal_generated-4             433329        434165        +0.19%
Benchmark_ffjson_Unmarshal_Full_simple-4         349408        349414        +0.00%
Benchmark_ffjson_Unmarshal_Min_simple-4          349408        349412        +0.00%
Benchmark_ffjson_Unmarshal_Full_generated-4      214933        214966        +0.02%
Benchmark_ffjson_Unmarshal_Min_generated-4       214932        214991        +0.03%
Benchmark_jsoniterator_Marshal-4                 179118        179246        +0.07%
Benchmark_jsoniterator_Marshal_fast-4            178474        177788        -0.38%
Benchmark_jsoniterator_Unmarshal_Full-4          615412        613786        -0.26%
Benchmark_jsoniterator_Unmarshal_Min-4           615412        613788        -0.26%
Benchmark_jsoniterator_Unmarshal_Full_fast-4     605105        603478        -0.27%
Benchmark_jsoniterator_Unmarshal_Min_fast-4      605105        603478        -0.27%
Benchmark_msgpack_vmihailenco_Unmarshal-4        217744        217745        +0.00%
Benchmark_std_Marshal-4                          176970        176529        -0.25%
Benchmark_std_Unmarshal_Full-4                   349408        349413        +0.00%
Benchmark_std_Unmarshal_Min-4                    349408        349412        +0.00%
